date,date_decimal,covid_dummy_0,covid_dummy_2020,covid_dummy_2021,covid_dummy_2022
1959-03-31,1959.0,1.0,0.0,0.0,0.0
1959-06-30,1959.25,1.0,0.0,0.0,0.0
1959-09-30,1959.5,1.0,0.0,0.0,0.0
1959-12-31,1959.75,1.0,0.0,0.0,0.0
1960-03-31,1960.0,1.0,0.0,0.0,0.0
1960-06-30,1960.25,1.0,0.0,0.0,0.0
1960-09-30,1960.5,1.0,0.0,0.0,0.0
1960-12-31,1960.75,1.0,0.0,0.0,0.0
1961-03-31,1961.0,1.0,0.0,0.0,0.0
1961-06-30,1961.25,1.0,0.0,0.0,0.0
1961-09-30,1961.5,1.0,0.0,0.0,0.0
1961-12-31,1961.75,1.0,0.0,0.0,0.0
1962-03-31,1962.0,1.0,0.0,0.0,0.0
1962-06-30,1962.25,1.0,0.0,0.0,0.0
1962-09-30,1962.5,1.0,0.0,0.0,0.0
1962-12-31,1962.75,1.0,0.0,0.0,0.0
1963-03-31,1963.0,1.0,0.0,0.0,0.0
1963-06-30,1963.25,1.0,0.0,0.0,0.0
1963-09-30,1963.5,1.0,0.0,0.0,0.0
1963-12-31,1963.75,1.0,0.0,0.0,0.0
1964-03-31,1964.0,1.0,0.0,0.0,0.0
1964-06-30,1964.25,1.0,0.0,0.0,0.0
1964-09-30,1964.5,1.0,0.0,0.0,0.0
1964-12-31,1964.75,1.0,0.0,0.0,0.0
1965-03-31,1965.0,1.0,0.0,0.0,0.0
1965-06-30,1965.25,1.0,0.0,0.0,0.0
1965-09-30,1965.5,1.0,0.0,0.0,0.0
1965-12-31,1965.75,1.0,0.0,0.0,0.0
1966-03-31,1966.0,1.0,0.0,0.0,0.0
1966-06-30,1966.25,1.0,0.0,0.0,0.0
1966-09-30,1966.5,1.0,0.0,0.0,0.0
1966-12-31,1966.75,1.0,0.0,0.0,0.0
1967-03-31,1967.0,1.0,0.0,0.0,0.0
1967-06-30,1967.25,1.0,0.0,0.0,0.0
1967-09-30,1967.5,1.0,0.0,0.0,0.0
1967-12-31,1967.75,1.0,0.0,0.0,0.0
1968-03-31,1968.0,1.0,0.0,0.0,0.0
1968-06-30,1968.25,1.0,0.0,0.0,0.0
1968-09-30,1968.5,1.0,0.0,0.0,0.0
1968-12-31,1968.75,1.0,0.0,0.0,0.0
1969-03-31,1969.0,1.0,0.0,0.0,0.0
1969-06-30,1969.25,1.0,0.0,0.0,0.0
1969-09-30,1969.5,1.0,0.0,0.0,0.0
1969-12-31,1969.75,1.0,0.0,0.0,0.0
1970-03-31,1970.0,1.0,0.0,0.0,0.0
1970-06-30,1970.25,1.0,0.0,0.0,0.0
1970-09-30,1970.5,1.0,0.0,0.0,0.0
1970-12-31,1970.75,1.0,0.0,0.0,0.0
1971-03-31,1971.0,1.0,0.0,0.0,0.0
1971-06-30,1971.25,1.0,0.0,0.0,0.0
1971-09-30,1971.5,1.0,0.0,0.0,0.0
1971-12-31,1971.75,1.0,0.0,0.0,0.0
1972-03-31,1972.0,1.0,0.0,0.0,0.0
1972-06-30,1972.25,1.0,0.0,0.0,0.0
1972-09-30,1972.5,1.0,0.0,0.0,0.0
1972-12-31,1972.75,1.0,0.0,0.0,0.0
1973-03-31,1973.0,1.0,0.0,0.0,0.0
1973-06-30,1973.25,1.0,0.0,0.0,0.0
1973-09-30,1973.5,1.0,0.0,0.0,0.0
1973-12-31,1973.75,1.0,0.0,0.0,0.0
1974-03-31,1974.0,1.0,0.0,0.0,0.0
1974-06-30,1974.25,1.0,0.0,0.0,0.0
1974-09-30,1974.5,1.0,0.0,0.0,0.0
1974-12-31,1974.75,1.0,0.0,0.0,0.0
1975-03-31,1975.0,1.0,0.0,0.0,0.0
1975-06-30,1975.25,1.0,0.0,0.0,0.0
1975-09-30,1975.5,1.0,0.0,0.0,0.0
1975-12-31,1975.75,1.0,0.0,0.0,0.0
1976-03-31,1976.0,1.0,0.0,0.0,0.0
1976-06-30,1976.25,1.0,0.0,0.0,0.0
1976-09-30,1976.5,1.0,0.0,0.0,0.0
1976-12-31,1976.75,1.0,0.0,0.0,0.0
1977-03-31,1977.0,1.0,0.0,0.0,0.0
1977-06-30,1977.25,1.0,0.0,0.0,0.0
1977-09-30,1977.5,1.0,0.0,0.0,0.0
1977-12-31,1977.75,1.0,0.0,0.0,0.0
1978-03-31,1978.0,1.0,0.0,0.0,0.0
1978-06-30,1978.25,1.0,0.0,0.0,0.0
1978-09-30,1978.5,1.0,0.0,0.0,0.0
1978-12-31,1978.75,1.0,0.0,0.0,0.0
1979-03-31,1979.0,1.0,0.0,0.0,0.0
1979-06-30,1979.25,1.0,0.0,0.0,0.0
